index,query,answer,subgraph_nodes,query_fig_name,answer_fig_name,main_relation,query_type,query_text,query_html,explanation_text,explanation_html
80,"(i,(p,(Synchronous),(e,(attendance pick up))),(p,(Synchronous),(e,(sentiment change))),(p,(Synchronous),(e,(player can select))))",the game progress,"['player can select', 'attendance pick up', 'the game progress', 'sentiment change']",20220420-174733-batch-0-q-80.jpg,20220420-174733-batch-0-a-80.jpg,Synchronous,3i,attendance pick up happens the same time as the event V?. sentiment change happens the same time as the event V?. player can select happens the same time as the event V?. What is the event V? ?,"<span style=""color:red;"">attendance pick up</span> happens the same time as <span style=""color:red;"">the event V?</span>. <span style=""color:red;"">sentiment change</span> happens the same time as <span style=""color:red;"">the event V?</span>. <span style=""color:red;"">player can select</span> happens the same time as <span style=""color:red;"">the event V?</span>. What is the event V? ?",player can select happens the same time as the game progress. attendance pick up happens the same time as the game progress. sentiment change happens the same time as the game progress.,"<span style=""color:red;"">player can select</span> happens the same time as <span style=""color:red;"">the game progress</span>. <span style=""color:red;"">attendance pick up</span> happens the same time as <span style=""color:red;"">the game progress</span>. <span style=""color:red;"">sentiment change</span> happens the same time as <span style=""color:red;"">the game progress</span>."
81,"(p,(Result),(i,(p,(ChosenAlternative),(e,(the company argue))),(p,(Contrast),(e,(PersonX sue the newspaper)))))",it be not register,"['the court of appeal hold', 'the company argue', 'PersonX sue the newspaper', 'it be not register']",20220420-174733-batch-0-q-81.jpg,20220420-174733-batch-0-a-81.jpg,ChosenAlternative,ip,the company argue is a preferred alternative situation to the event V1. the event V1 result in the event V?. PersonX sue the newspaper and the event V1 share significant difference regarding some property. What is the event V? ?,"<span style=""color:red;"">the company argue</span> is a preferred alternative situation to <span style=""color:red;"">the event V1</span>. <span style=""color:red;"">the event V1</span> result in <span style=""color:red;"">the event V?</span>. <span style=""color:red;"">PersonX sue the newspaper</span> and <span style=""color:red;"">the event V1</span> share significant difference regarding some property. What is the event V? ?",the company argue and the court of appeal hold share significant difference regarding some property. the company argue is a preferred alternative situation to the court of appeal hold. PersonX sue the newspaper and the court of appeal hold share significant difference regarding some property. the court of appeal hold happens because it be not register. the court of appeal hold result in it be not register.,"<span style=""color:red;"">the company argue</span> and <span style=""color:red;"">the court of appeal hold</span> share significant difference regarding some property. <span style=""color:red;"">the company argue</span> is a preferred alternative situation to <span style=""color:red;"">the court of appeal hold</span>. <span style=""color:red;"">PersonX sue the newspaper</span> and <span style=""color:red;"">the court of appeal hold</span> share significant difference regarding some property. <span style=""color:red;"">the court of appeal hold</span> happens because <span style=""color:red;"">it be not register</span>. <span style=""color:red;"">the court of appeal hold</span> result in <span style=""color:red;"">it be not register</span>."
82,"(p,(Condition),(i,(p,(Contrast),(e,(PersonX just do not know PersonY))),(p,(Condition),(e,(PersonX would not have do it)))))",PersonX should know PersonY,"['PersonX know PersonY now', 'PersonX would not have do it', 'PersonX just do not know PersonY', 'PersonX should know PersonY']",20220420-174733-batch-0-q-82.jpg,20220420-174733-batch-0-a-82.jpg,Contrast,ip,"PersonX just do not know PersonY and the event V1 share significant difference regarding some property. When the event V? happens, the event V1 can happen. When the event V1 happens, PersonX would not have do it can happen. What is the event V? ?","<span style=""color:red;"">PersonX just do not know PersonY</span> and <span style=""color:red;"">the event V1</span> share significant difference regarding some property. When <span style=""color:red;"">the event V?</span> happens, <span style=""color:red;"">the event V1</span> can happen. When <span style=""color:red;"">the event V1</span> happens, <span style=""color:red;"">PersonX would not have do it</span> can happen. What is the event V? ?","When PersonX should know PersonY happens, PersonX know PersonY now can happen. PersonX just do not know PersonY and PersonX know PersonY now share significant difference regarding some property. When PersonX know PersonY now happens, PersonX would not have do it can happen.","When <span style=""color:red;"">PersonX should know PersonY</span> happens, <span style=""color:red;"">PersonX know PersonY now</span> can happen. <span style=""color:red;"">PersonX just do not know PersonY</span> and <span style=""color:red;"">PersonX know PersonY now</span> share significant difference regarding some property. When <span style=""color:red;"">PersonX know PersonY now</span> happens, <span style=""color:red;"">PersonX would not have do it</span> can happen."
83,"(p,(Contrast),(i,(p,(Condition),(e,(it could not hurt to ask PersonX))),(p,(Condition),(e,(PersonX could not say something)))))",PersonY do not want to hear about it,"['PersonX want to say something', 'PersonX could not say something', 'it could not hurt to ask PersonX', 'PersonY do not want to hear about it']",20220420-174733-batch-0-q-83.jpg,20220420-174733-batch-0-a-83.jpg,Contrast,ip,"When the event V1 happens, it could not hurt to ask PersonX can happen. the event V1 and the event V? share significant difference regarding some property. When the event V1 happens, PersonX could not say something can happen. What is the event V? ?","When <span style=""color:red;"">the event V1</span> happens, <span style=""color:red;"">it could not hurt to ask PersonX</span> can happen. <span style=""color:red;"">the event V1</span> and <span style=""color:red;"">the event V?</span> share significant difference regarding some property. When <span style=""color:red;"">the event V1</span> happens, <span style=""color:red;"">PersonX could not say something</span> can happen. What is the event V? ?","When PersonX want to say something happens, it could not hurt to ask PersonX can happen. PersonX want to say something and PersonY do not want to hear about it share significant difference regarding some property. When PersonX want to say something happens, PersonX could not say something can happen.","When <span style=""color:red;"">PersonX want to say something</span> happens, <span style=""color:red;"">it could not hurt to ask PersonX</span> can happen. <span style=""color:red;"">PersonX want to say something</span> and <span style=""color:red;"">PersonY do not want to hear about it</span> share significant difference regarding some property. When <span style=""color:red;"">PersonX want to say something</span> happens, <span style=""color:red;"">PersonX could not say something</span> can happen."
84,"(p,(Contrast),(i,(p,(Condition),(e,(it could not hurt to ask PersonX))),(p,(Condition),(e,(PersonX could not say something)))))",PersonX do not want to hurt PersonY,"['PersonX want to say something', 'PersonX could not say something', 'it could not hurt to ask PersonX', 'PersonX do not want to hurt PersonY']",20220420-174733-batch-0-q-84.jpg,20220420-174733-batch-0-a-84.jpg,Contrast,ip,"When the event V1 happens, it could not hurt to ask PersonX can happen. the event V1 and the event V? share significant difference regarding some property. When the event V1 happens, PersonX could not say something can happen. What is the event V? ?","When <span style=""color:red;"">the event V1</span> happens, <span style=""color:red;"">it could not hurt to ask PersonX</span> can happen. <span style=""color:red;"">the event V1</span> and <span style=""color:red;"">the event V?</span> share significant difference regarding some property. When <span style=""color:red;"">the event V1</span> happens, <span style=""color:red;"">PersonX could not say something</span> can happen. What is the event V? ?","When PersonX want to say something happens, it could not hurt to ask PersonX can happen. PersonX want to say something and PersonX do not want to hurt PersonY share significant difference regarding some property. When PersonX want to say something happens, PersonX could not say something can happen.","When <span style=""color:red;"">PersonX want to say something</span> happens, <span style=""color:red;"">it could not hurt to ask PersonX</span> can happen. <span style=""color:red;"">PersonX want to say something</span> and <span style=""color:red;"">PersonX do not want to hurt PersonY</span> share significant difference regarding some property. When <span style=""color:red;"">PersonX want to say something</span> happens, <span style=""color:red;"">PersonX could not say something</span> can happen."
85,"(p,(Contrast),(i,(p,(Condition),(e,(it could not hurt to ask PersonX))),(p,(Condition),(e,(PersonX could not say something)))))",PersonX do not want to make a scene,"['PersonX want to say something', 'PersonX could not say something', 'it could not hurt to ask PersonX', 'PersonX do not want to make a scene']",20220420-174733-batch-0-q-85.jpg,20220420-174733-batch-0-a-85.jpg,Contrast,ip,"When the event V1 happens, it could not hurt to ask PersonX can happen. the event V1 and the event V? share significant difference regarding some property. When the event V1 happens, PersonX could not say something can happen. What is the event V? ?","When <span style=""color:red;"">the event V1</span> happens, <span style=""color:red;"">it could not hurt to ask PersonX</span> can happen. <span style=""color:red;"">the event V1</span> and <span style=""color:red;"">the event V?</span> share significant difference regarding some property. When <span style=""color:red;"">the event V1</span> happens, <span style=""color:red;"">PersonX could not say something</span> can happen. What is the event V? ?","When PersonX want to say something happens, it could not hurt to ask PersonX can happen. PersonX want to say something and PersonX do not want to make a scene share significant difference regarding some property. When PersonX want to say something happens, PersonX could not say something can happen.","When <span style=""color:red;"">PersonX want to say something</span> happens, <span style=""color:red;"">it could not hurt to ask PersonX</span> can happen. <span style=""color:red;"">PersonX want to say something</span> and <span style=""color:red;"">PersonX do not want to make a scene</span> share significant difference regarding some property. When <span style=""color:red;"">PersonX want to say something</span> happens, <span style=""color:red;"">PersonX could not say something</span> can happen."
87,"(p,(Condition),(i,(p,(Condition),(e,(PersonX will take care of PersonY))),(p,(Synchronous),(e,(PersonX have to take care of PersonY)))))",PersonY shall take care of PersonX,"['PersonY will take care of PersonX', 'PersonX have to take care of PersonY', 'PersonX will take care of PersonY', 'PersonY shall take care of PersonX']",20220420-174733-batch-0-q-87.jpg,20220420-174733-batch-0-a-87.jpg,Synchronous,ip,"When the event V1 happens, PersonX will take care of PersonY can happen. When the event V? happens, the event V1 can happen. PersonX have to take care of PersonY happens the same time as the event V1. What is the event V? ?","When <span style=""color:red;"">the event V1</span> happens, <span style=""color:red;"">PersonX will take care of PersonY</span> can happen. When <span style=""color:red;"">the event V?</span> happens, <span style=""color:red;"">the event V1</span> can happen. <span style=""color:red;"">PersonX have to take care of PersonY</span> happens the same time as <span style=""color:red;"">the event V1</span>. What is the event V? ?","PersonX will take care of PersonY happens the same time as PersonY will take care of PersonX. When PersonY will take care of PersonX happens, PersonX will take care of PersonY can happen. PersonX will take care of PersonY and PersonY will take care of PersonX both happen. PersonY will take care of PersonX happens the same time as PersonX will take care of PersonY. When PersonX will take care of PersonY happens, PersonY will take care of PersonX can happen. PersonY will take care of PersonX and PersonX will take care of PersonY both happen. When PersonY shall take care of PersonX happens, PersonY will take care of PersonX can happen. PersonX have to take care of PersonY happens the same time as PersonY will take care of PersonX.","<span style=""color:red;"">PersonX will take care of PersonY</span> happens the same time as <span style=""color:red;"">PersonY will take care of PersonX</span>. When <span style=""color:red;"">PersonY will take care of PersonX</span> happens, <span style=""color:red;"">PersonX will take care of PersonY</span> can happen. <span style=""color:red;"">PersonX will take care of PersonY</span> and <span style=""color:red;"">PersonY will take care of PersonX</span> both happen. <span style=""color:red;"">PersonY will take care of PersonX</span> happens the same time as <span style=""color:red;"">PersonX will take care of PersonY</span>. When <span style=""color:red;"">PersonX will take care of PersonY</span> happens, <span style=""color:red;"">PersonY will take care of PersonX</span> can happen. <span style=""color:red;"">PersonY will take care of PersonX</span> and <span style=""color:red;"">PersonX will take care of PersonY</span> both happen. When <span style=""color:red;"">PersonY shall take care of PersonX</span> happens, <span style=""color:red;"">PersonY will take care of PersonX</span> can happen. <span style=""color:red;"">PersonX have to take care of PersonY</span> happens the same time as <span style=""color:red;"">PersonY will take care of PersonX</span>."
88,"(p,(Condition),(i,(p,(Condition),(e,(PersonX will take care of PersonY))),(p,(Synchronous),(e,(PersonX have to take care of PersonY)))))",PersonX will let PersonY,"['PersonY will take care of PersonX', 'PersonX have to take care of PersonY', 'PersonX will take care of PersonY', 'PersonX will let PersonY']",20220420-174733-batch-0-q-88.jpg,20220420-174733-batch-0-a-88.jpg,Synchronous,ip,"When the event V1 happens, PersonX will take care of PersonY can happen. When the event V? happens, the event V1 can happen. PersonX have to take care of PersonY happens the same time as the event V1. What is the event V? ?","When <span style=""color:red;"">the event V1</span> happens, <span style=""color:red;"">PersonX will take care of PersonY</span> can happen. When <span style=""color:red;"">the event V?</span> happens, <span style=""color:red;"">the event V1</span> can happen. <span style=""color:red;"">PersonX have to take care of PersonY</span> happens the same time as <span style=""color:red;"">the event V1</span>. What is the event V? ?","PersonX will take care of PersonY happens the same time as PersonY will take care of PersonX. When PersonY will take care of PersonX happens, PersonX will take care of PersonY can happen. PersonX will take care of PersonY and PersonY will take care of PersonX both happen. PersonY will take care of PersonX happens the same time as PersonX will take care of PersonY. When PersonX will take care of PersonY happens, PersonY will take care of PersonX can happen. PersonY will take care of PersonX and PersonX will take care of PersonY both happen. When PersonX will let PersonY happens, PersonY will take care of PersonX can happen. PersonX have to take care of PersonY happens the same time as PersonY will take care of PersonX.","<span style=""color:red;"">PersonX will take care of PersonY</span> happens the same time as <span style=""color:red;"">PersonY will take care of PersonX</span>. When <span style=""color:red;"">PersonY will take care of PersonX</span> happens, <span style=""color:red;"">PersonX will take care of PersonY</span> can happen. <span style=""color:red;"">PersonX will take care of PersonY</span> and <span style=""color:red;"">PersonY will take care of PersonX</span> both happen. <span style=""color:red;"">PersonY will take care of PersonX</span> happens the same time as <span style=""color:red;"">PersonX will take care of PersonY</span>. When <span style=""color:red;"">PersonX will take care of PersonY</span> happens, <span style=""color:red;"">PersonY will take care of PersonX</span> can happen. <span style=""color:red;"">PersonY will take care of PersonX</span> and <span style=""color:red;"">PersonX will take care of PersonY</span> both happen. When <span style=""color:red;"">PersonX will let PersonY</span> happens, <span style=""color:red;"">PersonY will take care of PersonX</span> can happen. <span style=""color:red;"">PersonX have to take care of PersonY</span> happens the same time as <span style=""color:red;"">PersonY will take care of PersonX</span>."
89,"(p,(ChosenAlternative),(i,(p,(Condition),(e,(PersonX would feel bad))),(p,(Condition),(e,(PersonY have have some witness)))))",PersonY probably deserve it,"['PersonX would feel bad', 'PersonX could have help PersonY', 'PersonY have have some witness', 'PersonY probably deserve it']",20220420-174733-batch-0-q-89.jpg,20220420-174733-batch-0-a-89.jpg,ChosenAlternative,ip,"When the event V1 happens, PersonX would feel bad can happen. the event V1 is a preferred alternative situation to the event V?. When the event V1 happens, PersonY have have some witness can happen. What is the event V? ?","When <span style=""color:red;"">the event V1</span> happens, <span style=""color:red;"">PersonX would feel bad</span> can happen. <span style=""color:red;"">the event V1</span> is a preferred alternative situation to <span style=""color:red;"">the event V?</span>. When <span style=""color:red;"">the event V1</span> happens, <span style=""color:red;"">PersonY have have some witness</span> can happen. What is the event V? ?","When PersonX could have help PersonY happens, PersonX would feel bad can happen. PersonX could have help PersonY and PersonY probably deserve it share significant difference regarding some property. PersonX could have help PersonY is a preferred alternative situation to PersonY probably deserve it. When PersonX could have help PersonY happens, PersonY have have some witness can happen.","When <span style=""color:red;"">PersonX could have help PersonY</span> happens, <span style=""color:red;"">PersonX would feel bad</span> can happen. <span style=""color:red;"">PersonX could have help PersonY</span> and <span style=""color:red;"">PersonY probably deserve it</span> share significant difference regarding some property. <span style=""color:red;"">PersonX could have help PersonY</span> is a preferred alternative situation to <span style=""color:red;"">PersonY probably deserve it</span>. When <span style=""color:red;"">PersonX could have help PersonY</span> happens, <span style=""color:red;"">PersonY have have some witness</span> can happen."
90,"(p,(ChosenAlternative),(i,(p,(Condition),(e,(PersonX would feel bad))),(p,(Condition),(e,(PersonY have have some witness)))))",PersonX beat PersonY to dust,"['PersonX would feel bad', 'PersonX could have help PersonY', 'PersonY have have some witness', 'PersonX beat PersonY to dust']",20220420-174733-batch-0-q-90.jpg,20220420-174733-batch-0-a-90.jpg,ChosenAlternative,ip,"When the event V1 happens, PersonX would feel bad can happen. the event V1 is a preferred alternative situation to the event V?. When the event V1 happens, PersonY have have some witness can happen. What is the event V? ?","When <span style=""color:red;"">the event V1</span> happens, <span style=""color:red;"">PersonX would feel bad</span> can happen. <span style=""color:red;"">the event V1</span> is a preferred alternative situation to <span style=""color:red;"">the event V?</span>. When <span style=""color:red;"">the event V1</span> happens, <span style=""color:red;"">PersonY have have some witness</span> can happen. What is the event V? ?","When PersonX could have help PersonY happens, PersonX would feel bad can happen. PersonX could have help PersonY and PersonX beat PersonY to dust share significant difference regarding some property. PersonX could have help PersonY is a preferred alternative situation to PersonX beat PersonY to dust. When PersonX could have help PersonY happens, PersonY have have some witness can happen.","When <span style=""color:red;"">PersonX could have help PersonY</span> happens, <span style=""color:red;"">PersonX would feel bad</span> can happen. <span style=""color:red;"">PersonX could have help PersonY</span> and <span style=""color:red;"">PersonX beat PersonY to dust</span> share significant difference regarding some property. <span style=""color:red;"">PersonX could have help PersonY</span> is a preferred alternative situation to <span style=""color:red;"">PersonX beat PersonY to dust</span>. When <span style=""color:red;"">PersonX could have help PersonY</span> happens, <span style=""color:red;"">PersonY have have some witness</span> can happen."
91,"(p,(ChosenAlternative),(i,(p,(Condition),(e,(PersonX would feel bad))),(p,(Condition),(e,(PersonY have have some witness)))))",PersonX just smirk,"['PersonX would feel bad', 'PersonX could have help PersonY', 'PersonY have have some witness', 'PersonX just smirk']",20220420-174733-batch-0-q-91.jpg,20220420-174733-batch-0-a-91.jpg,ChosenAlternative,ip,"When the event V1 happens, PersonX would feel bad can happen. the event V1 is a preferred alternative situation to the event V?. When the event V1 happens, PersonY have have some witness can happen. What is the event V? ?","When <span style=""color:red;"">the event V1</span> happens, <span style=""color:red;"">PersonX would feel bad</span> can happen. <span style=""color:red;"">the event V1</span> is a preferred alternative situation to <span style=""color:red;"">the event V?</span>. When <span style=""color:red;"">the event V1</span> happens, <span style=""color:red;"">PersonY have have some witness</span> can happen. What is the event V? ?","When PersonX could have help PersonY happens, PersonX would feel bad can happen. PersonX could have help PersonY and PersonX just smirk share significant difference regarding some property. PersonX could have help PersonY is a preferred alternative situation to PersonX just smirk. When PersonX could have help PersonY happens, PersonY have have some witness can happen.","When <span style=""color:red;"">PersonX could have help PersonY</span> happens, <span style=""color:red;"">PersonX would feel bad</span> can happen. <span style=""color:red;"">PersonX could have help PersonY</span> and <span style=""color:red;"">PersonX just smirk</span> share significant difference regarding some property. <span style=""color:red;"">PersonX could have help PersonY</span> is a preferred alternative situation to <span style=""color:red;"">PersonX just smirk</span>. When <span style=""color:red;"">PersonX could have help PersonY</span> happens, <span style=""color:red;"">PersonY have have some witness</span> can happen."
92,"(p,(Precedence),(i,(p,(Restatement),(e,(PersonX can do it with support))),(p,(Condition),(e,(PersonX could be near a aircraft)))))",the police show up,"['PersonX can do it with support', 'PersonX could be near a aircraft', 'PersonX need to escape', 'the police show up']",20220420-174733-batch-0-q-92.jpg,20220420-174733-batch-0-a-92.jpg,Restatement,ip,"the event V1 restates PersonX can do it with support. the event V1 happens before the event V?. When the event V1 happens, PersonX could be near a aircraft can happen. What is the event V? ?","<span style=""color:red;"">the event V1</span> restates <span style=""color:red;"">PersonX can do it with support</span>. <span style=""color:red;"">the event V1</span> happens before <span style=""color:red;"">the event V?</span>. When <span style=""color:red;"">the event V1</span> happens, <span style=""color:red;"">PersonX could be near a aircraft</span> can happen. What is the event V? ?","PersonX need to escape happens before the police show up. PersonX need to escape restates PersonX can do it with support. When PersonX need to escape happens, PersonX could be near a aircraft can happen.","<span style=""color:red;"">PersonX need to escape</span> happens before <span style=""color:red;"">the police show up</span>. <span style=""color:red;"">PersonX need to escape</span> restates <span style=""color:red;"">PersonX can do it with support</span>. When <span style=""color:red;"">PersonX need to escape</span> happens, <span style=""color:red;"">PersonX could be near a aircraft</span> can happen."
93,"(p,(Precedence),(i,(p,(Restatement),(e,(PersonX can do it with support))),(p,(Condition),(e,(PersonX could be near a aircraft)))))",PersonX never feel guilty,"['PersonX can do it with support', 'PersonX could be near a aircraft', 'PersonX need to escape', 'PersonX never feel guilty']",20220420-174733-batch-0-q-93.jpg,20220420-174733-batch-0-a-93.jpg,Restatement,ip,"the event V1 restates PersonX can do it with support. the event V1 happens before the event V?. When the event V1 happens, PersonX could be near a aircraft can happen. What is the event V? ?","<span style=""color:red;"">the event V1</span> restates <span style=""color:red;"">PersonX can do it with support</span>. <span style=""color:red;"">the event V1</span> happens before <span style=""color:red;"">the event V?</span>. When <span style=""color:red;"">the event V1</span> happens, <span style=""color:red;"">PersonX could be near a aircraft</span> can happen. What is the event V? ?","PersonX need to escape happens before PersonX never feel guilty. PersonX need to escape restates PersonX can do it with support. When PersonX need to escape happens, PersonX could be near a aircraft can happen.","<span style=""color:red;"">PersonX need to escape</span> happens before <span style=""color:red;"">PersonX never feel guilty</span>. <span style=""color:red;"">PersonX need to escape</span> restates <span style=""color:red;"">PersonX can do it with support</span>. When <span style=""color:red;"">PersonX need to escape</span> happens, <span style=""color:red;"">PersonX could be near a aircraft</span> can happen."
94,"(p,(Result),(i,(p,(Succession),(e,(PeopleX do not charge PersonY for the))),(p,(Reason),(e,(it be a stupid business decision)))))",PeopleX do the next best thing,"['PeopleX could not do it', 'PeopleX do not charge PersonY for the', 'it be a stupid business decision', 'PeopleX do the next best thing']",20220420-174733-batch-0-q-94.jpg,20220420-174733-batch-0-a-94.jpg,Succession,ip,PeopleX do not charge PersonY for the happens after the event V1. the event V1 result in the event V?. it be a stupid business decision happens because the event V1. What is the event V? ?,"<span style=""color:red;"">PeopleX do not charge PersonY for the</span> happens after <span style=""color:red;"">the event V1</span>. <span style=""color:red;"">the event V1</span> result in <span style=""color:red;"">the event V?</span>. <span style=""color:red;"">it be a stupid business decision</span> happens because <span style=""color:red;"">the event V1</span>. What is the event V? ?",PeopleX could not do it result in PeopleX do the next best thing. PeopleX do not charge PersonY for the happens after PeopleX could not do it. it be a stupid business decision happens because PeopleX could not do it.,"<span style=""color:red;"">PeopleX could not do it</span> result in <span style=""color:red;"">PeopleX do the next best thing</span>. <span style=""color:red;"">PeopleX do not charge PersonY for the</span> happens after <span style=""color:red;"">PeopleX could not do it</span>. <span style=""color:red;"">it be a stupid business decision</span> happens because <span style=""color:red;"">PeopleX could not do it</span>."
95,"(p,(Result),(i,(p,(Succession),(e,(PeopleX do not charge PersonY for the))),(p,(Reason),(e,(it be a stupid business decision)))))",it be time for change,"['PeopleX could not do it', 'PeopleX do not charge PersonY for the', 'it be a stupid business decision', 'it be time for change']",20220420-174733-batch-0-q-95.jpg,20220420-174733-batch-0-a-95.jpg,Succession,ip,PeopleX do not charge PersonY for the happens after the event V1. the event V1 result in the event V?. it be a stupid business decision happens because the event V1. What is the event V? ?,"<span style=""color:red;"">PeopleX do not charge PersonY for the</span> happens after <span style=""color:red;"">the event V1</span>. <span style=""color:red;"">the event V1</span> result in <span style=""color:red;"">the event V?</span>. <span style=""color:red;"">it be a stupid business decision</span> happens because <span style=""color:red;"">the event V1</span>. What is the event V? ?",PeopleX could not do it result in it be time for change. PeopleX do not charge PersonY for the happens after PeopleX could not do it. it be a stupid business decision happens because PeopleX could not do it.,"<span style=""color:red;"">PeopleX could not do it</span> result in <span style=""color:red;"">it be time for change</span>. <span style=""color:red;"">PeopleX do not charge PersonY for the</span> happens after <span style=""color:red;"">PeopleX could not do it</span>. <span style=""color:red;"">it be a stupid business decision</span> happens because <span style=""color:red;"">PeopleX could not do it</span>."
96,"(p,(Result),(i,(p,(Succession),(e,(PeopleX do not charge PersonY for the))),(p,(Reason),(e,(it be a stupid business decision)))))",PeopleY have to move,"['PeopleX could not do it', 'PeopleX do not charge PersonY for the', 'it be a stupid business decision', 'PeopleY have to move']",20220420-174733-batch-0-q-96.jpg,20220420-174733-batch-0-a-96.jpg,Succession,ip,PeopleX do not charge PersonY for the happens after the event V1. the event V1 result in the event V?. it be a stupid business decision happens because the event V1. What is the event V? ?,"<span style=""color:red;"">PeopleX do not charge PersonY for the</span> happens after <span style=""color:red;"">the event V1</span>. <span style=""color:red;"">the event V1</span> result in <span style=""color:red;"">the event V?</span>. <span style=""color:red;"">it be a stupid business decision</span> happens because <span style=""color:red;"">the event V1</span>. What is the event V? ?",PeopleX could not do it result in PeopleY have to move. PeopleX do not charge PersonY for the happens after PeopleX could not do it. it be a stupid business decision happens because PeopleX could not do it.,"<span style=""color:red;"">PeopleX could not do it</span> result in <span style=""color:red;"">PeopleY have to move</span>. <span style=""color:red;"">PeopleX do not charge PersonY for the</span> happens after <span style=""color:red;"">PeopleX could not do it</span>. <span style=""color:red;"">it be a stupid business decision</span> happens because <span style=""color:red;"">PeopleX could not do it</span>."
97,"(p,(Condition),(i,(p,(Alternative),(e,(PersonY have to end to do the right thing))),(p,(Reason),(e,(PersonY do not need to do PersonY work)))))",PersonY will only send PersonX,"['PersonX will do it for PersonY', 'PersonY do not need to do PersonY work', 'PersonY have to end to do the right thing', 'PersonY will only send PersonX']",20220420-174733-batch-0-q-97.jpg,20220420-174733-batch-0-a-97.jpg,Alternative,ip,"PersonY have to end to do the right thing is an alternative situation to the event V1. When the event V? happens, the event V1 can happen. PersonY do not need to do PersonY work happens because the event V1. What is the event V? ?","<span style=""color:red;"">PersonY have to end to do the right thing</span> is an alternative situation to <span style=""color:red;"">the event V1</span>. When <span style=""color:red;"">the event V?</span> happens, <span style=""color:red;"">the event V1</span> can happen. <span style=""color:red;"">PersonY do not need to do PersonY work</span> happens because <span style=""color:red;"">the event V1</span>. What is the event V? ?","PersonY do not need to do PersonY work happens because PersonX will do it for PersonY. When PersonY will only send PersonX happens, PersonX will do it for PersonY can happen. PersonY have to end to do the right thing is an alternative situation to PersonX will do it for PersonY.","<span style=""color:red;"">PersonY do not need to do PersonY work</span> happens because <span style=""color:red;"">PersonX will do it for PersonY</span>. When <span style=""color:red;"">PersonY will only send PersonX</span> happens, <span style=""color:red;"">PersonX will do it for PersonY</span> can happen. <span style=""color:red;"">PersonY have to end to do the right thing</span> is an alternative situation to <span style=""color:red;"">PersonX will do it for PersonY</span>."
98,"(p,(Condition),(i,(p,(Alternative),(e,(PersonY have to end to do the right thing))),(p,(Reason),(e,(PersonY do not need to do PersonY work)))))",PersonY have the thing,"['PersonX will do it for PersonY', 'PersonY do not need to do PersonY work', 'PersonY have to end to do the right thing', 'PersonY have the thing']",20220420-174733-batch-0-q-98.jpg,20220420-174733-batch-0-a-98.jpg,Alternative,ip,"PersonY have to end to do the right thing is an alternative situation to the event V1. When the event V? happens, the event V1 can happen. PersonY do not need to do PersonY work happens because the event V1. What is the event V? ?","<span style=""color:red;"">PersonY have to end to do the right thing</span> is an alternative situation to <span style=""color:red;"">the event V1</span>. When <span style=""color:red;"">the event V?</span> happens, <span style=""color:red;"">the event V1</span> can happen. <span style=""color:red;"">PersonY do not need to do PersonY work</span> happens because <span style=""color:red;"">the event V1</span>. What is the event V? ?","PersonY do not need to do PersonY work happens because PersonX will do it for PersonY. When PersonY have the thing happens, PersonX will do it for PersonY can happen. PersonY have to end to do the right thing is an alternative situation to PersonX will do it for PersonY.","<span style=""color:red;"">PersonY do not need to do PersonY work</span> happens because <span style=""color:red;"">PersonX will do it for PersonY</span>. When <span style=""color:red;"">PersonY have the thing</span> happens, <span style=""color:red;"">PersonX will do it for PersonY</span> can happen. <span style=""color:red;"">PersonY have to end to do the right thing</span> is an alternative situation to <span style=""color:red;"">PersonX will do it for PersonY</span>."
99,"(p,(Condition),(i,(p,(Alternative),(e,(PersonY have to end to do the right thing))),(p,(Reason),(e,(PersonY do not need to do PersonY work)))))",the bot do not,"['PersonX will do it for PersonY', 'PersonY do not need to do PersonY work', 'PersonY have to end to do the right thing', 'the bot do not']",20220420-174733-batch-0-q-99.jpg,20220420-174733-batch-0-a-99.jpg,Alternative,ip,"PersonY have to end to do the right thing is an alternative situation to the event V1. When the event V? happens, the event V1 can happen. PersonY do not need to do PersonY work happens because the event V1. What is the event V? ?","<span style=""color:red;"">PersonY have to end to do the right thing</span> is an alternative situation to <span style=""color:red;"">the event V1</span>. When <span style=""color:red;"">the event V?</span> happens, <span style=""color:red;"">the event V1</span> can happen. <span style=""color:red;"">PersonY do not need to do PersonY work</span> happens because <span style=""color:red;"">the event V1</span>. What is the event V? ?","PersonY do not need to do PersonY work happens because PersonX will do it for PersonY. When the bot do not happens, PersonX will do it for PersonY can happen. PersonY have to end to do the right thing is an alternative situation to PersonX will do it for PersonY.","<span style=""color:red;"">PersonY do not need to do PersonY work</span> happens because <span style=""color:red;"">PersonX will do it for PersonY</span>. When <span style=""color:red;"">the bot do not</span> happens, <span style=""color:red;"">PersonX will do it for PersonY</span> can happen. <span style=""color:red;"">PersonY have to end to do the right thing</span> is an alternative situation to <span style=""color:red;"">PersonX will do it for PersonY</span>."
